"Nombre","Puntuacion","Precio","fecha"
"B&B Hotel Tarragona Centro Urbis","8,1","€ 61","12"
"Hotel Canadá","8,0","€ 76","12"
"Hotel Sant Jordi","8,6","€ 68","12"
"Hotel SB Express Tarragona","8,3","€ 81","12"
"Hotel Mas La Boella","9,1","€ 199","12"
"Golden Costa Salou - Adults Only 4* Sup","9,0","€ 78","12"
"Estival Park","8,0","€ 54","12"
"Palas Pineda","7,8","€ 63","12"
"PortAventura Hotel Gold River - Includes PortAventura Park Tickets","8,4","€ 136","12"
"Mercure Atenea Aventura","8,0","€ 62","12"
"Hotel-Aparthotel Dorada Palace","8,4","€ 63","12"
"Medplaya Hotel Calypso","7,7","€ 69","12"
"PortAventura Hotel El Paso - Includes PortAventura Park Tickets","8,0","€ 133","12"
"Hotel Oasis Park","7,5","€ 53","12"
"Aparthotel SunClub Salou","8,0","€ 63","12"
"Hotel Raval de la Mar","8,2","€ 61","12"
"Ohtels Vil·la Romana","8,2","€ 77","12"
"Golden Port Salou & Spa","8,4","€ 89","12"
"AC Hotel Tarragona by Marriott","8,4","€ 97","13"
"H10 Imperial Tarraco 4* Sup","8,9","€ 109","13"
"Tarraco Park Tarragona","7,9","€ 87","13"
"Hotel SB Ciutat de Tarragona","7,6","€ 103","13"
"Astari","8,3","€ 70","13"
"Hotel Lauria","7,7","€ 61","13"
"B&B Hotel Tarragona Centro Urbis","8,1","€ 61","13"
"Nuria","8,1","€ 79","13"
"Hotel Canadá","8,0","€ 76","13"
"Hotel Sant Jordi","8,6","€ 68","13"
"Hotel SB Express Tarragona","8,3","€ 81","13"
"Hotel Mas La Boella","9,1","€ 199","13"
"Golden Costa Salou - Adults Only 4* Sup","9,0","€ 78","13"
"Estival Park","8,0","€ 54","13"
"Palas Pineda","7,8","€ 63","13"
"PortAventura Hotel Gold River - Includes PortAventura Park Tickets","8,4","€ 136","13"
"Hotel-Aparthotel Dorada Palace","8,4","€ 63","13"
"Mercure Atenea Aventura","8,0","€ 58","13"
"Medplaya Hotel Calypso","7,7","€ 69","13"
"PortAventura Hotel El Paso - Includes PortAventura Park Tickets","8,0","€ 133","13"
"Aparthotel SunClub Salou","8,0","€ 63","13"
"Hotel Raval de la Mar","8,2","€ 61","13"
"Ohtels Vil·la Romana","8,2","€ 77","13"
"Golden Avenida Family Suites 4*","8,5","€ 93","13"
"Alannia Salou","8,1","€ 91","13"
"H10 Imperial Tarraco 4* Sup","8,9","€ 109","14"
"Tarraco Park Tarragona","7,9","€ 87","14"
"Hotel SB Ciutat de Tarragona","7,6","€ 103","14"
"AC Hotel Tarragona by Marriott","8,4","€ 87","14"
"Astari","8,3","€ 80","14"
"Hotel Sant Jordi","8,6","€ 68","14"
"Hotel Lauria","7,7","€ 66","14"
"B&B Hotel Tarragona Centro Urbis","8,1","€ 63","14"
"Hotel SB Express Tarragona","8,3","€ 81","14"
"Nuria","8,1","€ 79","14"
"Hotel Canadá","8,0","€ 76","14"
"Hotel Mas La Boella","9,1","€ 208","14"
"Estival Park","8,0","€ 79","14"
"Golden Costa Salou - Adults Only 4* Sup","9,0","€ 78","14"
"PortAventura Hotel Gold River - Includes PortAventura Park Tickets","8,4","€ 151","14"
"Hotel-Aparthotel Dorada Palace","8,4","€ 63","14"
"Hotel Raval de la Mar","8,2","€ 68","14"
"Ohtels Vil·la Romana","8,2","€ 81","14"
"Mercure Atenea Aventura","8,0","€ 58","14"
"Medplaya Hotel Calypso","7,7","€ 69","14"
"PortAventura Hotel PortAventura - Includes PortAventura Park Tickets","8,4","€ 146","14"
"PortAventura Hotel El Paso - Includes PortAventura Park Tickets","8,0","€ 133","14"
"PortAventura Hotel Caribe - Includes PortAventura Park Tickets","7,7","€ 133","14"
"PortAventura Hotel Colorado Creek - Includes PortAventura Park Tickets","8,8","€ 171","14"
"Golden Avenida Family Suites 4*","8,5","€ 93","14"
"AC Hotel Tarragona by Marriott","8,4","€ 92","15"
"H10 Imperial Tarraco 4* Sup","8,9","€ 126","15"
"Hotel SB Ciutat de Tarragona","7,6","€ 103","15"
"Tarraco Park Tarragona","7,9","€ 87","15"
"Hotel Lauria","7,7","€ 66","15"
"Astari","8,3","€ 80","15"
"Hotel Canadá","8,0","€ 81","15"
"Hotel Sant Jordi","8,6","€ 68","15"
"Hotel SB Express Tarragona","8,3","€ 81","15"
"B&B Hotel Tarragona Centro Urbis","8,1","€ 81","15"
"Hotel Mas La Boella","9,1","€ 208","15"
"Hotel-Aparthotel Dorada Palace","8,4","€ 63","15"
"Mercure Atenea Aventura","8,0","€ 58","15"
"Hotel Raval de la Mar","8,2","€ 68","15"
"Aparthotel SunClub Salou","8,0","€ 93","15"
"Ohtels Vil·la Romana","8,2","€ 81","15"
"PortAventura Hotel PortAventura - Includes PortAventura Park Tickets","8,4","€ 256","15"
"PortAventura Hotel El Paso - Includes PortAventura Park Tickets","8,0","€ 238","15"
"PortAventura Hotel Caribe - Includes PortAventura Park Tickets","7,7","€ 228","15"
"PortAventura Hotel Colorado Creek - Includes PortAventura Park Tickets","8,8","€ 261","15"
"May Altafulla Beach Boutique Hotel","9,3","€ 145","15"
"Magnolia Hotel - Adults Only","8,4","€ 92","15"
"Altafulla Mar Hotel","8,7","€ 134","15"
"4R Salou Park Resort I","7,0","€ 68","15"
"4R Gran Regina","7,6","€ 68","15"
"H10 Imperial Tarraco 4* Sup","8,9","€ 83","16"
"AC Hotel Tarragona by Marriott","8,4","€ 97","16"
"Tarraco Park Tarragona","7,9","€ 87","16"
"Hotel SB Ciutat de Tarragona","7,6","€ 103","16"
"Hotel Lauria","7,7","€ 61","16"
"Astari","8,3","€ 70","16"
"Nuria","8,1","€ 79","16"
"Hotel Sant Jordi","8,6","€ 68","16"
"B&B Hotel Tarragona Centro Urbis","8,1","€ 56","16"
"Hotel SB Express Tarragona","8,3","€ 81","16"
"Hotel Canadá","8,0","€ 76","16"
"Hotel Mas La Boella","9,1","€ 199","16"
"Estival Park","8,0","€ 51","16"
"Palas Pineda","7,8","€ 68","16"
"PortAventura Hotel Gold River - Includes PortAventura Park Tickets","8,4","€ 141","16"
"Golden Costa Salou - Adults Only 4* Sup","9,0","€ 78","16"
"Mercure Atenea Aventura","8,0","€ 58","16"
"Medplaya Hotel Calypso","7,7","€ 69","16"
"Hotel-Aparthotel Dorada Palace","8,4","€ 63","16"
"PortAventura Hotel El Paso - Includes PortAventura Park Tickets","8,0","€ 153","16"
"Hotel Raval de la Mar","8,2","€ 68","16"
"Ohtels Vil·la Romana","8,2","€ 77","16"
"Aparthotel SunClub Salou","8,0","€ 83","16"
"Golden Avenida Family Suites 4*","8,5","€ 93","16"
"Alannia Salou","8,1","€ 91","16"
"H10 Imperial Tarraco 4* Sup","8,9","€ 92","17"
"AC Hotel Tarragona by Marriott","8,4","€ 102","17"
"Tarraco Park Tarragona","7,9","€ 87","17"
"Hotel SB Ciutat de Tarragona","7,6","€ 113","17"
"Hotel Lauria","7,7","€ 61","17"
"Astari","8,3","€ 70","17"
"Nuria","8,1","€ 79","17"
"Hotel Canadá","8,0","€ 76","17"
"Hotel Sant Jordi","8,6","€ 68","17"
"B&B Hotel Tarragona Centro Urbis","8,1","€ 61","17"
"Hotel SB Express Tarragona","8,3","€ 81","17"
"Hotel Mas La Boella","9,1","€ 199","17"
"Golden Costa Salou - Adults Only 4* Sup","9,0","€ 78","17"
"Estival Park","8,0","€ 54","17"
"Palas Pineda","7,8","€ 68","17"
"PortAventura Hotel Gold River - Includes PortAventura Park Tickets","8,4","€ 141","17"
"Hotel-Aparthotel Dorada Palace","8,4","€ 63","17"
"Mercure Atenea Aventura","8,0","€ 93","17"
"Medplaya Hotel Calypso","7,7","€ 69","17"
"PortAventura Hotel El Paso - Includes PortAventura Park Tickets","8,0","€ 153","17"
"Hotel Raval de la Mar","8,2","€ 68","17"
"Ohtels Vil·la Romana","8,2","€ 77","17"
"Aparthotel SunClub Salou","8,0","€ 83","17"
"Golden Avenida Family Suites 4*","8,5","€ 93","17"
"Alannia Salou","8,1","€ 91","17"
"H10 Imperial Tarraco 4* Sup","8,9","€ 122","18"
"AC Hotel Tarragona by Marriott","8,4","€ 102","18"
"Tarraco Park Tarragona","7,9","€ 87","18"
"Hotel SB Ciutat de Tarragona","7,6","€ 99","18"
"Hotel Lauria","7,7","€ 61","18"
"Astari","8,3","€ 70","18"
"Nuria","8,1","€ 79","18"
"Hotel Canadá","8,0","€ 76","18"
"Hotel Sant Jordi","8,6","€ 68","18"
"B&B Hotel Tarragona Centro Urbis","8,1","€ 56","18"
"Hotel SB Express Tarragona","8,3","€ 73","18"
"Hotel Mas La Boella","9,1","€ 199","18"
"Golden Costa Salou - Adults Only 4* Sup","9,0","€ 78","18"
"Estival Park","8,0","€ 54","18"
"Palas Pineda","7,8","€ 68","18"
"PortAventura Hotel Gold River - Includes PortAventura Park Tickets","8,4","€ 141","18"
"Hotel-Aparthotel Dorada Palace","8,4","€ 63","18"
"Mercure Atenea Aventura","8,0","€ 93","18"
"Medplaya Hotel Calypso","7,7","€ 69","18"
"PortAventura Hotel El Paso - Includes PortAventura Park Tickets","8,0","€ 153","18"
"Hotel Raval de la Mar","8,2","€ 68","18"
"Aparthotel SunClub Salou","8,0","€ 83","18"
"Ohtels Vil·la Romana","8,2","€ 77","18"
"Golden Avenida Family Suites 4*","8,5","€ 93","18"
"Alannia Salou","8,1","€ 91","18"
"AC Hotel Tarragona by Marriott","8,4","€ 102","19"
"H10 Imperial Tarraco 4* Sup","8,9","€ 126","19"
"Tarraco Park Tarragona","7,9","€ 87","19"
"Hotel SB Ciutat de Tarragona","7,6","€ 99","19"
"Hotel Lauria","7,7","€ 61","19"
"Astari","8,3","€ 70","19"
"Nuria","8,1","€ 79","19"
"Hotel Canadá","8,0","€ 76","19"
"Hotel Sant Jordi","8,6","€ 68","19"
"B&B Hotel Tarragona Centro Urbis","8,1","€ 58","19"
"Hotel SB Express Tarragona","8,3","€ 73","19"
"Hotel Mas La Boella","9,1","€ 199","19"
"Estival Park","8,0","€ 51","19"
"Palas Pineda","7,8","€ 73","19"
"PortAventura Hotel Gold River - Includes PortAventura Park Tickets","8,4","€ 151","19"
"Hotel-Aparthotel Dorada Palace","8,4","€ 63","19"
"Medplaya Hotel Calypso","7,7","€ 78","19"
"PortAventura Hotel El Paso - Includes PortAventura Park Tickets","8,0","€ 153","19"
"Hotel Raval de la Mar","8,2","€ 68","19"
"Aparthotel SunClub Salou","8,0","€ 83","19"
"Ohtels Vil·la Romana","8,2","€ 112","19"
"Golden Avenida Family Suites 4*","8,5","€ 93","19"
"Alannia Salou","8,1","€ 91","19"
"Sol Costa Daurada","7,9","€ 71","19"
"Hotel Gran Claustre Restaurant & Spa","8,1","€ 112","19"
"Tarraco Park Tarragona","7,9","€ 87","20"
"AC Hotel Tarragona by Marriott","8,4","€ 136","20"
"Hotel SB Ciutat de Tarragona","7,6","€ 126","20"
"Astari","8,3","€ 70","20"
"Hotel Sant Jordi","8,6","€ 68","20"
"B&B Hotel Tarragona Centro Urbis","8,1","€ 61","20"
"Hotel Lauria","7,7","€ 66","20"
"Nuria","8,1","€ 79","20"
"Hotel Canadá","8,0","€ 76","20"
"Hotel SB Express Tarragona","8,3","€ 132","20"
"Hotel Mas La Boella","9,1","€ 199","20"
"PortAventura Hotel Gold River - Includes PortAventura Park Tickets","8,4","€ 151","20"
"Hotel Raval de la Mar","8,2","€ 103","20"
"Ohtels Vil·la Romana","8,2","€ 112","20"
"Medplaya Hotel Calypso","7,7","€ 78","20"
"PortAventura Hotel El Paso - Includes PortAventura Park Tickets","8,0","€ 153","20"
"Golden Port Salou & Spa","8,4","€ 138","20"
"Aparthotel SunClub Salou","8,0","€ 83","20"
"Alannia Salou","8,1","€ 91","20"
"May Altafulla Beach Boutique Hotel","9,3","€ 125","20"
